50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.338526,,,,,,,,,,,cdc2828f-69a0-4e58-9116-1030c11a132b,16,,"[70.8, 59.8]",3754066,0,,,,,-0.45262876,,Head,,,"[85.4, 52.7]",,Low Pass,16.234838,,,Incomplete,,Diego da Silva Costa,,,,,,1,From Kick Off,Ramires Santos do Nascimento,28100.0,Right Wing,2,Chelsea,33,"['0d3deb32-f43b-4dfb-a67a-d75283c3e173', 'c4d5f30e-aa6d-4917-b8ea-7e96550c161e']",12,,,,,,,,,,,,,,,Chelsea,33,00:00:12.164,Pass,
,,,,,,,,,,,,,,,,,1.268747,,,,,,,,,,,5faf41ad-404f-4d7d-87e5-b7153a1e9df9,20,,"[34.7, 27.4]",3754066,0,,,,,-0.61466295,,Left Foot,,,"[53.4, 14.2]",,Low Pass,22.889517,,,,,Raheem Sterling,,,,,,1,From Counter,Eliaquim Mangala,3389.0,Left Center Back,3,Manchester City,36,['b4447746-65d9-4128-94db-7645971effe0'],14,,,,,,,,,,,,,,,Manchester City,36,00:00:14.148,Pass,
,,,,,,,,,,,,,,,,,0.588665,,,,,,,,,,,fcbdac03-9455-4dc3-a321-12c22bfd79a6,23,,"[53.4, 14.2]",3754066,0,,,,,1.3142797,,Right Foot,,,"[55.0, 20.3]",,Low Pass,6.306346,,,,,David Josué Jiménez Silva,,,,,,1,From Counter,Raheem Sterling,3233.0,Left Wing,3,Manchester City,36,['659e2f21-1b92-4da7-8d79-b7c995123929'],15,,,,,,,,,,,,,,,Manchester City,36,00:00:15.478,Pass,
,,,,,,,,,,,,,,,,,2.41595,,,,,,,,,,,d02c070c-8bcf-4424-9b33-81740838761b,27,,"[65.0, 8.9]",3754066,0,,,,,0.51663804,b9f410b8-3693-4a57-9016-9e1199143da2,Left Foot,,,"[95.1, 26.0]",,Ground Pass,34.618202,,,,,Sergio Leonel Agüero del Castillo,True,,Through Ball,True,,1,From Counter,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,3,Manchester City,36,['245adcc3-e215-4bec-9820-6d88e706786b'],19,,,,,,,,,,,,,,,Manchester City,36,00:00:19.894,Pass,
,,,,,,,,,,,,,,,,,3.886967,,,,,,,,,,,1e9b7cfc-164d-493a-8d0e-3f4bf90417ba,38,,"[7.0, 44.1]",3754066,1,,,,,0.1617256,,Right Foot,,,"[78.1, 55.7]",,High Pass,72.04006,,,Incomplete,,Diego da Silva Costa,,,,,Goal Kick,1,From Goal Kick,Asmir Begović,3339.0,Goalkeeper,4,Chelsea,33,"['8d016e9c-72f2-4481-90db-115c3f41ca63', 'a97c3429-506d-4b6f-84f6-60c254e1b346']",8,,,,,,,,,,,,,,,Chelsea,33,00:01:08.254,Pass,
,,,,,,,,,,,,,,,,,1.369776,,,,,,,,,,,6b1207ad-7b8e-4100-a13f-6514100c0216,44,,"[67.1, 65.6]",3754066,1,,,,,-0.46954146,,Right Foot,,,"[87.4, 55.3]",,Low Pass,22.763567,,,,,Diego da Silva Costa,,,,,Recovery,1,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,4,Chelsea,33,['99cb407f-dce3-4a9f-ab82-b0e5a3f4c7c1'],16,,,,,,,,,,,,,,,Chelsea,33,00:01:16.009,Pass,
,,,,,,,,,,,,,,,,,3.042501,,,,,,,,,,,717cc833-8677-443f-a11f-7ce58bdb6dc4,48,,"[88.2, 51.7]",3754066,1,,,,,1.670465,,Right Foot,,,"[85.4, 79.7]",,Low Pass,28.139652,,,Out,,Willian Borges da Silva,,,,,,1,From Goal Kick,Diego da Silva Costa,5198.0,Center Forward,4,Chelsea,33,"['3f17910f-8d8f-4850-b6f6-96692cf56cc7', 'f4cb931f-5e29-4dae-ae1d-fee949fe4e1f']",17,,,,,,,,,,,,,,,Chelsea,33,00:01:17.897,Pass,True
,,,,,,,,,,,,,,,,,1.362737,,,,,,,,,,,381be6ed-8205-4336-8c40-682db61da437,50,,"[35.7, 0.1]",3754066,1,,,,,1.94013,,,,,"[33.3, 6.3]",,Low Pass,6.6483083,,,,,Gnégnéri Yaya Touré,,,,,Throw-in,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,5,Manchester City,36,['41f9baa6-4636-41b0-a3ff-2454708c0576'],29,,,,,,,,,,,,,,,Manchester City,36,00:01:29.873,Pass,
,,,,,,,,,,,,,,,,,1.194153,,,,,,,,,,,fc3e38d0-cc53-4109-8734-35c1c4c26b16,53,,"[33.1, 6.3]",3754066,1,,,,,-1.3142797,,Right Foot,,,"[34.7, 0.2]",,Ground Pass,6.306346,,,,,Aleksandar Kolarov,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,5,Manchester City,36,['96e05778-5fed-4e3a-8ce0-845e2e04b72d'],31,,,,,,,,,,,,,,,Manchester City,36,00:01:31.275,Pass,
,,,,,,,,,,,,,,,,,0.989694,,,,,,,,,,,b0e7d30f-3f96-4681-a0d9-07ef4aa789cd,55,,"[34.7, 0.2]",3754066,1,,,,,2.8326619,,Left Foot,,,"[25.3, 3.2]",,Ground Pass,9.867117,,,,,Gnégnéri Yaya Touré,,,,,,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,5,Manchester City,36,['ab1d4d6a-6bcb-45a0-9124-feb186caa214'],32,,,,,,,,,,,,,,,Manchester City,36,00:01:32.469,Pass,
