50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.187002,,,,,,,,,,,,e247fa26-fa9c-4d46-8a6e-e4f62d2fd2ed,17,,"[67.6, 73.5]",3754112,0,,,,0.06472428,,Right Foot,,,"[78.4, 74.2]",,Ground Pass,,10.822661,,,Incomplete,,Cédric Ricardo Alves Soares,,,,,Recovery,1,From Kick Off,José Miguel da Rocha Fonte,3960.0,Right Center Back,2,Southampton,25,"['16bf64ec-4154-4ca3-830a-b9cec4c21d51', '30f73af6-aef2-411e-af11-5830a49b16dc']",13,,,,,,,,,,,,,,,Southampton,25,00:00:13.355,Pass,
,,,,,,,,,,,,,,,,2.93883,,,,,,,,,,,,30f73af6-aef2-411e-af11-5830a49b16dc,19,,"[41.7, 5.9]",3754112,0,,,,-0.18889718,,Right Foot,,,"[68.9, 0.7]",,High Pass,,27.692598,,,Out,,Papiss Demba Cissé,,,,,Recovery,1,From Kick Off,Gabriel Antoine Obertan,42899.0,Left Wing,2,Southampton,25,"['037846bf-15f1-429f-aa8b-0d3e3752bcd9', 'e247fa26-fa9c-4d46-8a6e-e4f62d2fd2ed']",14,,,,,,,,,,,,,,,Newcastle United,37,00:00:14.542,Pass,
,,,,,,,,,,,,,,,,0.796005,,,,,,,,,,,,2c893da2-eb04-47f8-9b16-ff03bcb5c692,21,,"[51.2, 80.0]",3754112,0,,,,-0.5128503,,,,,"[61.5, 74.2]",,Low Pass,,11.8207445,,,,,Sadio Mané,,,,,Throw-in,1,From Throw In,Cédric Ricardo Alves Soares,3329.0,Right Back,3,Southampton,25,['de21cf74-b135-452c-adeb-45bf44121e84'],29,,,,,,,,,,,,,,,Southampton,25,00:00:29.940,Pass,
,,,,,,,,,,,,,,,,1.601577,,,,,,,,,,,,9518f7ea-a18e-45e6-9295-7468e9295f14,25,,"[62.0, 76.1]",3754112,0,,,,-0.17521805,,Right Foot,,,"[82.9, 72.4]",,High Pass,,21.224985,,,Incomplete,,,,,,,,1,From Throw In,Sadio Mané,3629.0,Center Attacking Midfield,3,Southampton,25,"['73af7e9f-ab2a-495e-9b38-3d1aa066a698', 'bb492741-c05d-46d2-9995-695738d8d508']",31,,,,,,,,,,,,,,,Southampton,25,00:00:31.980,Pass,True
,,,,,,,,,,,,,,,,0.979856,,,,,,,,,,,,73af7e9f-ab2a-495e-9b38-3d1aa066a698,26,,"[37.2, 7.7]",3754112,0,,,,-0.009900667,,Head,,,"[47.3, 7.6]",,Low Pass,,10.100495,,,Incomplete,,Vurnon Anita,,,,,Recovery,1,From Throw In,Massadio Haïdara,4840.0,Left Back,3,Southampton,25,"['41643ee5-584d-44fa-9df4-a567abac52c4', '8274d757-2d4b-44d9-9854-185b89a9896f', '9518f7ea-a18e-45e6-9295-7468e9295f14']",33,,,,,,,,,,,,,,,Newcastle United,37,00:00:33.582,Pass,
,,,,,,,,,,,,,,,,0.590924,,,,,,,,,,,,41643ee5-584d-44fa-9df4-a567abac52c4,28,,"[72.8, 72.5]",3754112,0,,,,-0.962107,,Left Foot,,,"[75.1, 69.2]",,Low Pass,,4.022437,,,,,Dušan Tadić,,,,,Recovery,1,From Throw In,Sadio Mané,3629.0,Center Attacking Midfield,3,Southampton,25,"['73af7e9f-ab2a-495e-9b38-3d1aa066a698', 'f9962921-a689-4ae6-8503-8c195e92c65c']",34,,,,,,,,,,,,,,,Southampton,25,00:00:34.562,Pass,
,,,,,,,,,,,,,,,,2.135429,,,,,,,,,,,,b51a91b5-0800-472f-9612-1611e2635f85,34,,"[74.7, 69.9]",3754112,0,,,,-0.5546322,,Left Foot,,,"[106.5, 50.2]",,High Pass,,37.40762,,,Incomplete,,Sadio Mané,,,,,Free Kick,1,From Free Kick,Dušan Tadić,3831.0,Right Wing,4,Southampton,25,"['1c2700c3-9853-46bd-bf5d-1fedd885c6c6', 'a1ae2b46-0b9d-4e87-9c42-06c89b658e1d']",47,,,,,,,,,,,,,,,Southampton,25,00:00:47.888,Pass,
,,,,,,,,,,,,,,,,1.48198,,,,,,,,,,,,3eec3ce4-9fc1-44f7-b902-db427a3a2ee1,40,,"[15.6, 12.3]",3754112,0,,,,-0.5738465,,Left Foot,,,"[33.7, 0.6]",,High Pass,,21.552261,,,Out,,,,,,,,1,From Free Kick,Jack Colback,9649.0,Left Center Midfield,4,Southampton,25,['6ed0d550-1073-4772-8049-74620f2de74a'],54,,,,,,,,,,,,,,,Newcastle United,37,00:00:54.674,Pass,True
,,,,,,,,,,,,,,,,0.830578,,,,,,,,,,,,5f50a246-73a1-4006-9516-9de1b8932829,41,,"[86.5, 80.0]",3754112,1,,,,-0.9732399,,,,,"[91.4, 72.8]",,Low Pass,,8.70919,,,,,Sadio Mané,,,,,Throw-in,1,From Throw In,Cédric Ricardo Alves Soares,3329.0,Right Back,5,Southampton,25,['c4d77a1f-dfcd-40be-848f-7ecf089cd0a6'],3,,,,,,,,,,,,,,,Southampton,25,00:01:03.780,Pass,
,,,,,,,,,,,,,,,,0.693351,,,,,,,,,,,,8609db3a-4889-4750-88ae-dbd12794692a,44,,"[90.1, 72.5]",3754112,1,,,,2.6011732,,Right Foot,,,"[83.1, 76.7]",,Ground Pass,,8.163333,,,,,Cédric Ricardo Alves Soares,,,,,,1,From Throw In,Sadio Mané,3629.0,Center Attacking Midfield,5,Southampton,25,['52e59091-c7ef-48bb-9e9c-1c32f17a6699'],5,,,,,,,,,,,,,,,Southampton,25,00:01:05.415,Pass,
